time_period,area_name,median_monthly_pay
2018-12-01,East,1829
2019-01-01,East,1838
2019-02-01,East,1848
2019-03-01,East,1857
2019-04-01,East,1860
2019-05-01,East,1864
2019-06-01,East,1866
2019-07-01,East,1871
2019-08-01,East,1877
2019-09-01,East,1880
2019-10-01,East,1883
2019-11-01,East,1886
2019-12-01,East,1896
2020-01-01,East,1902
2020-02-01,East,1917
2020-03-01,East,1909
2020-04-01,East,1860
2020-05-01,East,1862
2020-06-01,East,1891
2020-07-01,East,1925
2020-08-01,East,1956
2020-09-01,East,1962
2020-10-01,East,1973
2020-11-01,East,1985
2020-12-01,East,1993
2021-01-01,East,1998
2021-02-01,East,2005
2021-03-01,East,2025
2021-04-01,East,2028
2021-05-01,East,2028
2021-06-01,East,2040
2021-07-01,East,2048
2021-08-01,East,2064
2021-09-01,East,2078
2021-10-01,East,2084
2021-11-01,East,2090
2021-12-01,East,2098
2022-01-01,East,2124
2022-02-01,East,2127
2022-03-01,East,2133
2022-04-01,East,2137
2022-05-01,East,2154
2022-06-01,East,2168
2022-07-01,East,2179
2022-08-01,East,2193
2022-09-01,East,2221
2022-10-01,East,2226
2022-11-01,East,2258
2022-12-01,East,2255
2023-01-01,East,2266
2023-02-01,East,2271
2023-03-01,East,2281
2023-04-01,East,2295
2023-05-01,East,2322
2023-06-01,East,2371
2023-07-01,East,2341
2023-08-01,East,2341
2023-09-01,East,2340
2023-10-01,East,2356
2023-11-01,East,2384
2023-12-01,East,2386
2024-01-01,East,2390
2024-02-01,East,2404
2024-03-01,East,2418
2024-04-01,East,2432
2024-05-01,East,2439
2024-06-01,East,2447
2024-07-01,East,2458
2024-08-01,East,2466
2024-09-01,East,2483
2024-10-01,East,2528
2024-11-01,East,2518
2024-12-01,East,2510
2025-01-01,East,2531
2025-02-01,East,2542
2025-03-01,East,2549
2025-04-01,East,2560
2025-05-01,East,2567
2025-06-01,East,2580
2025-07-01,East,2592
2025-08-01,East,2626
2025-09-01,East,2613
2025-10-01,East,2612
2025-11-01,East,2609
2025-12-01,East,2617
2026-01-01,East,2640
2026-02-01,East,2655
2026-03-01,East,2673
2026-04-01,East,2690
2026-05-01,East,2692
2014-07-01,London,1928
2014-08-01,London,1932
2014-09-01,London,1932
2014-10-01,London,1934
2014-11-01,London,1937
2014-12-01,London,1944
2015-01-01,London,1949
2015-02-01,London,1951
2015-03-01,London,1947
2015-04-01,London,1944
2015-05-01,London,1943
2015-06-01,London,1947
2015-07-01,London,1951
2015-08-01,London,1951
2015-09-01,London,1956
2015-10-01,London,1965
2015-11-01,London,1966
2015-12-01,London,1970
2016-01-01,London,1977
2016-02-01,London,1982
2016-03-01,London,1990
2016-04-01,London,1998
2016-05-01,London,1997
2016-06-01,London,2007
2016-07-01,London,2013
2016-08-01,London,2014
2016-09-01,London,2019
2016-10-01,London,2018
2016-11-01,London,2022
2016-12-01,London,2020
2017-01-01,London,2023
2017-02-01,London,2033
2017-03-01,London,2036
2017-04-01,London,2043
2017-05-01,London,2053
2017-06-01,London,2057
2017-07-01,London,2058
2017-08-01,London,2068
2017-09-01,London,2072
2017-10-01,London,2079
2017-11-01,London,2085
2017-12-01,London,2093
2018-01-01,London,2098
2018-02-01,London,2102
2018-03-01,London,2106
2018-04-01,London,2107
2018-05-01,London,2111
2018-06-01,London,2119
2018-07-01,London,2129
2018-08-01,London,2155
2018-09-01,London,2140
2018-10-01,London,2146
2018-11-01,London,2153
2018-12-01,London,2155
2019-01-01,London,2165
2019-02-01,London,2169
2019-03-01,London,2180
2019-04-01,London,2184
2019-05-01,London,2196
2019-06-01,London,2196
